panel,script,purpose,shared_logic,specific_parameters,main_outputs
FigureS2A,R/figureS2_supplementary_cellchat_correlation.R,IGH abundance-versus-clonotype correlation heatmap,Reuses Figure2I_K correlation function,LN2 sample; receptor IGH; metric Shannon,figureS2A_<sample>_IGH_Shannon_heatmap.pdf
FigureS2B,R/figureS2_supplementary_cellchat_correlation.R,TRB abundance-versus-clonotype correlation heatmap,Reuses Figure2I_K correlation function,LN2 sample; receptor TRB; metric Shannon,figureS2B_<sample>_TRB_Shannon_heatmap.pdf
FigureS2C,R/figureS2_supplementary_cellchat_correlation.R,Incoming versus outgoing interaction strength scatter,CellChat interaction-strength summaries,Region-level CellChat object; output from figure2L,figureS2C_* interaction scatter outputs
FigureS2D,R/figureS2_supplementary_cellchat_correlation.R,Region interaction network plot,CellChat netVisual circle/chord workflow,Region-level CellChat object; output from figure2L,figureS2D_* network outputs
FigureS2E,R/figureS2_supplementary_cellchat_correlation.R,BAFF MHC-II and CXCL pathway networks,Reuses Figure2M pathway plotting,Pathways BAFF MHC-II CXCL,figureS2E_F_<sample>_<pathway> outputs
FigureS2F,R/figureS2_supplementary_cellchat_correlation.R,Ligand-receptor contribution bars for selected pathways,Reuses Figure2M netAnalysis_contribution,Pathways BAFF MHC-II CXCL,figureS2E_F_<sample>_<pathway>_lr_contribution.pdf
FigureS3A,R/figureS3_LN2_region_analysis.R,UMAP and spatial region annotation for LN2 sample,Reuses Figure2A plotting function,S3-specific region labels and marker list,figure2A_LN2_region_annotation.pdf
FigureS3B,R/figureS3_LN2_region_analysis.R,Cell-type composition by S3 regions,Reuses Figure2B composition function,S3-specific region labels,figure2B_LN2_celltype_composition.pdf
FigureS3C,R/figureS3_LN2_region_analysis.R,S3 region marker violin plot,Reuses Figure2C marker plotting,S3 marker list defined in figureS3_region_marker_genes,figure2C_LN2_region_marker_violin.pdf
FigureS3D_F,R/figureS3_LN2_region_analysis.R,S3 region-specific cell-type abundance violins,Reuses Figure2D_E_F abundance function,S3 follicular inter-follicular and epithelial/vascular region groups,figureS3D_F_* abundance outputs
FigureS3G_H,R/figureS3_LN2_region_analysis.R,S3 IGH/TRB Shannon and SHM comparisons,Reuses Figure2G/H functions,S3 region groups defined in figureS3_region_groups,figureS3G_* and figure2H_* outputs
FigureS3I,R/figureS3_LN2_region_analysis.R,S3 IGH/TRB abundance-versus-clonotype correlation heatmaps,Reuses Figure2I_K correlation function,Receptors IGH/TRB; metric Shannon,figureS3I_* heatmap outputs
FigureS3J_K,R/figure2J_K_random_celltype_assignment.R,S3 B/T cell-type diversity plots and B-T correlation heatmap,Reuses random_celltype_diversity_helpers.R,S3-specific B/T cell-type lists and random assignment probabilities,figureS3J_K_<sample> random-celltype outputs
FigureS4A,R/figureS4_Tonsil1_region_analysis.R,Tonsil1 QC and filtered spatial feature plots,Seurat metadata/SpatialFeaturePlot workflow,Tonsil1 nCount/nFeature before and after filtering,figureS4A_* QC outputs
FigureS4B,R/figureS4_Tonsil1_region_analysis.R,Tonsil1 UMAP and spatial region annotation,Reuses Figure2A plotting function,S4-specific region labels and colors,figure2A_Tonsil1_region_annotation.pdf
FigureS4C,R/figureS4_Tonsil1_region_analysis.R,Tonsil1 cell-type composition by region,Reuses Figure2B composition function,S4-specific region labels,figure2B_Tonsil1_celltype_composition.pdf
FigureS4D,R/figureS4_Tonsil1_region_analysis.R,Tonsil1 marker dotplot for region annotation,Seurat DotPlot workflow,S4 marker list defined in figureS4_region_marker_genes,figureS4D_Tonsil1_marker_dotplot.pdf
FigureS4E_G,R/figureS4_Tonsil1_region_analysis.R,Tonsil1 IGH/TRB Shannon diversity by region,Reuses Figure2G function,S4 follicular/mantle/inter-follicular groups,figureS4E_G_* shannon outputs
FigureS4F_H,R/figureS4_Tonsil1_region_analysis.R,Tonsil1 IGH/TRB correlation heatmaps,Reuses Figure2I_K correlation function,Receptors IGH/TRB; metric Shannon,figureS4F_H_* heatmap outputs
